bowler,mean
N Rana,2.769230769230769
BJ Hodge,3.0
RG Sharma,3.0
JDP Oram,3.0
Anand Rajan,3.3076923076923075
Bipul Sharma,3.857142857142857
KA Jamieson,4.0
A Chandila,4.733333333333333
Monu Kumar,5.0
SMSM Senanayake,5.027027027027027
JC Archer,5.248447204968944
R Rampaul,5.285714285714286
Mohammad Nabi,5.3125
B Lee,5.386363636363637
HF Gurney,5.457142857142857
Harmeet Singh,5.5
RE van der Merwe,5.5
KW Richardson,5.6
JR Hazlewood,5.6
DP Nannes,5.620689655172414
Z Khan,5.634529147982063
D Wiese,5.714285714285714
S Lamichhane,5.75
M de Lange,5.7894736842105265
P Kumar,5.857142857142857
C de Grandhomme,5.857142857142857
B Kumar,5.901522842639594
DW Steyn,5.98989898989899
DJ Bravo,6.0
AD Mascarenhas,6.0
DJ Hussey,6.0
L Balaji,6.077348066298343
Mustafizur Rahman,6.09375
AA Chavan,6.1
NM Coulter-Nile,6.118811881188119
SP Narine,6.147368421052631
VS Malik,6.180327868852459
MM Ali,6.2
JJ Bumrah,6.339754816112084
BW Hilfenhaus,6.392156862745098
SL Malinga,6.449905482041588
L Ngidi,6.452991452991453
AN Ahmed,6.475409836065574
R Ashwin,6.47945205479452
MA Starc,6.483974358974359
IC Pandey,6.48828125
Mujeeb Ur Rahman,6.492647058823529
IK Pathan,6.628378378378378
J Botha,6.654545454545454
CH Morris,6.661157024793388
Azhar Mahmood,6.714285714285714
Iqbal Abdulla,6.7272727272727275
M Morkel,6.769709543568465
KH Pandya,6.780821917808219
Ankit Sharma,6.8
KV Sharma,6.866666666666666
Sandeep Sharma,6.874100719424461
S Badree,6.895161290322581
WD Parnell,6.926315789473684
STR Binny,6.92741935483871
Kuldeep Yadav,6.931034482758621
GB Hogg,6.945945945945946
T Natarajan,6.963302752293578
Anureet Singh,6.972602739726027
M Vijay,7.0
Harpreet Brar,7.0
KS Williamson,7.0
S Narwal,7.0
CH Gayle,7.0
GS Sandhu,7.0
S Sreesanth,7.015873015873016
JP Faulkner,7.064516129032258
MJ McClenaghan,7.18848167539267
DL Chahar,7.188736681887367
Rashid Khan,7.205357142857143
J Yadav,7.226666666666667
NA Saini,7.244541484716157
RA Jadeja,7.2727272727272725
KK Cooper,7.28
UT Yadav,7.295612009237876
DS Kulkarni,7.326885880077369
YK Pathan,7.327272727272727
TA Boult,7.3352941176470585
SM Curran,7.348066298342541
RP Singh,7.351351351351352
Shakib Al Hasan,7.373493975903615
PJ Cummins,7.3737704918032785
SR Watson,7.431635388739946
JA Morkel,7.447368421052632
NLTC Perera,7.455696202531645
JD Unadkat,7.481081081081081
TG Southee,7.50122249388753
I Sharma,7.507552870090635
A Choudhary,7.513513513513513
R Dhawan,7.525
PP Ojha,7.525862068965517
PP Chawla,7.548387096774194
MG Johnson,7.564705882352941
S Gopal,7.571428571428571
SS Cottrell,7.575
JW Hastings,7.589743589743589
V Shankar,7.636363636363637
Washington Sundar,7.638297872340425
Harbhajan Singh,7.640897755610973
B Stanlake,7.662921348314606
CR Brathwaite,7.666666666666667
DJ Muthuswami,7.666666666666667
RJ Harris,7.6923076923076925
O Thomas,7.709677419354839
S Aravind,7.71830985915493
RD Chahar,7.7272727272727275
TS Mills,7.733333333333333
YS Chahal,7.7465753424657535
S Sandeep Warrier,7.75
A Nehra,7.764814814814815
K Rabada,7.765625
MM Sharma,7.771708683473389
SW Tait,7.7727272727272725
AR Patel,7.7823529411764705
AJ Tye,7.816793893129771
Ravi Bishnoi,7.828571428571428
S Nadeem,7.858638743455497
Mohammed Shami,7.953367875647668
JO Holder,7.962264150943396
M Muralitharan,7.964285714285714
JP Duminy,7.965116279069767
MC Henriques,7.993103448275862
CJ Green,8.0
A Mithun,8.0
SA Yadav,8.0
P Awana,8.00625
R Vinay Kumar,8.033783783783784
K Gowtham,8.048309178743962
JL Pattinson,8.086021505376344
Arshdeep Singh,8.137931034482758
JH Kallis,8.140625
SN Thakur,8.20796460176991
PV Tambe,8.225806451612904
GH Vihari,8.25
Parvez Rasool,8.25
AS Joseph,8.25
VR Aaron,8.262773722627736
DJG Sammy,8.28
AD Russell,8.288321167883211
DJ Hooda,8.3
Shivam Mavi,8.303225806451612
S Kaul,8.337121212121213
AS Rajpoot,8.362637362637363
R Shukla,8.46938775510204
KM Asif,8.5
LH Ferguson,8.516129032258064
P Suyal,8.553846153846154
HV Patel,8.561797752808989
KK Ahmed,8.572192513368984
Mohammed Siraj,8.631067961165048
BB Sran,8.64516129032258
M Prasidh Krishna,8.665254237288135
JP Behrendorff,8.8125
AB Dinda,8.896103896103897
Imran Tahir,8.903225806451612
GC Viljoen,8.92
R Tewatia,9.0
MR Marsh,9.0
KL Nagarkoti,9.0
Y Venugopal Rao,9.0
BA Bhatt,9.0
PJ Sangwan,9.0
BCJ Cutting,9.068181818181818
MJ Santner,9.128205128205128
MM Patel,9.162790697674419
CV Varun,9.166666666666666
AD Mathews,9.181818181818182
K Santokie,9.2
M Ashwin,9.25
HH Pandya,9.27659574468085
DT Christian,9.36
CR Woakes,9.446601941747574
Gurkeerat Singh,9.5
CJ Anderson,9.594594594594595
LE Plunkett,9.636363636363637
CJ Jordan,9.661971830985916
B Laughlin,9.675675675675675
TK Curran,9.736842105263158
DJ Willey,9.75
BA Stokes,9.8
SB Jakati,10.0
R Parag,10.0
J Theron,10.0
GJ Maxwell,10.023529411764706
BE Hendricks,10.21875
JDS Neesham,10.36
Avesh Khan,10.406593406593407
Kartik Tyagi,10.491228070175438
P Negi,10.6
I Udana,10.666666666666666
M Kartik,10.846153846153847
JPR Scantlebury-Searles,11.0
MS Gony,11.0
SC Kuggeleijn,11.0
