batsmen,mean
MJ McClenaghan,0.0
JC Archer,0.0
MN Samuels,0.0
PJ Cummins,0.0
R Parag,0.0
RK Bhui,0.0
DJ Hooda,14.0
IK Pathan,14.0
A Mishra,20.0
S Badrinath,26.8
K Rabada,33.0
PC Valthaty,33.0
N Jagadeesan,33.333333333333336
HH Pandya,45.72222222222222
Vishnu Vinod,47.285714285714285
IR Jaggi,47.333333333333336
R Tewatia,50.0
C de Grandhomme,50.0
BMAJ Mendis,50.0
R Ashwin,61.5
AR Patel,63.6
V Shankar,64.16666666666667
RT Ponting,64.26086956521739
BB Samantray,67.0
Washington Sundar,67.0
GH Vihari,71.98795180722891
TM Head,72.72727272727273
JP Faulkner,73.47368421052632
LRPL Taylor,75.0
KV Sharma,75.0
YBK Jaiswal,75.0
TM Dilshan,77.36206896551724
KM Jadhav,78.21875
MP Stoinis,78.28571428571429
MK Lomror,78.57142857142857
EJG Morgan,79.92523364485982
MS Dhoni,82.36111111111111
A Ashish Reddy,83.0
DJM Short,84.52380952380952
UBT Chand,85.46153846153847
CJ Anderson,85.640625
MK Tiwary,86.37735849056604
Yuvraj Singh,88.05084745762711
T Banton,88.0909090909091
S Rana,88.52173913043478
RE van der Merwe,89.0
PA Reddy,90.95081967213115
MM Ali,90.96666666666667
CA Pujara,92.85093167701864
CL White,92.88888888888889
A Mukund,93.0
JH Kallis,93.00568181818181
NV Ojha,93.39583333333333
KA Pollard,93.4
DA Miller,93.74626865671642
Azhar Mahmood,93.75
Gurkeerat Singh,94.51282051282051
RR Rossouw,94.56521739130434
NJ Maddinson,95.28571428571429
NLTC Perera,100.0
P Negi,100.0
RM Patidar,100.0
H Klaasen,100.0
RD Gaikwad,100.23529411764706
KC Sangakkara,100.2909090909091
SS Iyer,100.37883008356546
DPMD Jayawardene,100.625
R Dravid,100.85
AD Nath,102.0
JP Duminy,102.61379310344827
AM Nayar,103.73529411764706
VH Zol,104.57142857142857
MS Bisla,104.80319148936171
JR Philippe,104.84615384615384
KD Karthik,105.84738955823293
Harbhajan Singh,106.25
Ishan Kishan,107.95977011494253
SE Marsh,108.2094861660079
YV Takawale,108.27941176470588
J Botha,108.3913043478261
M Vijay,110.10818713450293
DJ Bravo,111.53846153846153
MC Henriques,111.60655737704919
JJ Roy,111.7258064516129
N Rana,112.76811594202898
SR Tendulkar,113.09016393442623
SR Watson,113.9205448354143
AJ Finch,113.98033707865169
Mandeep Singh,114.27090301003345
SD Lad,115.0
SV Samson,115.82324058919804
SO Hetmyer,116.28571428571429
SN Khan,116.5
RA Jadeja,117.0
Ankit Sharma,117.0
G Gambhir,117.06844919786096
KK Nair,117.26011560693641
AP Tare,117.46794871794872
KS Williamson,117.97008547008546
STR Binny,118.0
Shubman Gill,118.2195945945946
MEK Hussey,118.3616504854369
CM Gautam,119.234375
AT Rayudu,120.39959432048681
RG Sharma,120.68381240544629
MC Juneja,121.16666666666667
DR Smith,121.36440677966101
BR Dunk,121.5
S Dhawan,121.8955078125
AM Rahane,122.16759156492786
SPD Smith,122.27741935483871
SS Tiwary,123.23076923076923
V Kohli,123.41038696537679
SM Curran,123.9
MK Pandey,124.66281755196304
LMP Simmons,125.61247216035635
SW Billings,126.1891891891892
MA Agarwal,126.27235772357723
MDKJ Perera,127.0
HM Amla,127.11627906976744
AC Gilchrist,127.54285714285714
M Vohra,128.5502283105023
JM Bairstow,129.56016597510373
D Padikkal,130.82412060301507
LA Pomersbach,131.68421052631578
PA Patel,131.85807860262008
Q de Kock,132.93997445721584
F du Plessis,132.94678492239467
SK Raina,133.08370044052865
CH Gayle,133.52359346642467
SP Goswami,133.56756756756758
GJ Maxwell,134.77005347593584
V Sehwag,134.85882352941175
KL Rahul,135.94162436548223
RV Uthappa,135.9798206278027
RA Tripathi,136.01754385964912
AB de Villiers,137.11904761904762
RR Pant,137.55769230769232
KH Pandya,137.8125
P Simran Singh,138.0
KP Pietersen,138.35772357723576
BA Stokes,138.54347826086956
GJ Bailey,139.8372093023256
Shakib Al Hasan,140.83333333333334
BB McCullum,140.95907928388746
MJ Guptill,142.1048387096774
E Lewis,144.30243902439025
WP Saha,144.8740740740741
DA Warner,144.88225674570728
C Munro,145.01666666666668
AD Hales,145.3048780487805
DJ Hussey,146.02
YK Pathan,146.46938775510205
CA Lynn,146.97519083969465
SA Yadav,147.43466666666666
PP Shaw,154.0737704918033
JA Morkel,156.92307692307693
DJG Sammy,160.0
JC Buttler,162.37864077669903
N Pooran,176.7058823529412
Y Venugopal Rao,180.0
SP Narine,186.5639534883721
LS Livingstone,197.33333333333334
K Gowtham,200.0
PP Chawla,200.0
AD Russell,230.4
CH Morris,283.0
KK Cooper,350.0
NA Saini,
